scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_mean,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,signal_mean,label
-0.9170174,0.345295846,0.482321531,0.398830891,-0.509269536,0.540409207,0.950616658,0.667292416,-1,0.739815295,1,0.854015946,0.29196015,0.339859515,0.46198079,0.452968031,1,1,0.445851564,0.0286681354,0.130869418,0.000112950802,False
-0.783623278,0.485059381,0.401904136,0.478304267,0.0779174119,0.893294454,1,0.869278789,-1,1,0.325690567,1,0.412827671,0.394662976,0.737395287,0.607925832,0.934036255,0.744485915,0.848235071,0.609802663,0.134403005,0.00189775229,False
-0.518611014,0.286278814,0.102219619,0.327257723,-1,0.506845057,0.105143778,0.590873301,-0.299682885,0.494679362,1,0.604326129,0.279270947,0.316750675,0.565571964,0.650685132,1,1,0.518744349,0.3868258,0.0781816542,0.00210094452,False
-0.773546696,0.482014388,0.0581375323,0.488463134,-0.463279188,0.768555164,0.0814617872,0.809676647,-1,1,1,1,0.392054439,0.410827816,0.541945159,0.591698527,0.869332552,0.802597404,0.89625448,0.015526522,0.00191885175,0.00122135878,False
-0.720643342,0.51844877,0.0773344189,0.555151284,-0.894973457,0.866396368,0.0629503056,0.920747697,-1,1,1,1,0.388275802,0.40329814,0.609673023,0.65672344,0.94933188,0.860147715,0.390650868,0.0638436303,0.324760705,0.000440716743,False
-0.842396438,0.486676425,0.24313733,0.475732923,0.64150697,0.780642033,0.431098074,0.812629998,-1,1,1,1,0.381979346,0.385606349,0.497344077,0.471725047,0.631987572,0.744572759,0.314454138,0.249454483,0.0323879085,0.000780940056,False
-0.284037679,0.487368703,1,0.497870326,0.234029904,0.770073175,0.0675151497,0.811519146,-1,0.867950141,0.557155848,0.838752151,0.561899543,0.526129484,0.630680978,0.794778883,1,1,0.818333387,0.122077234,0.26677534,0.000576496124,False
-1,0.274152547,0.204065248,0.328097016,-0.99251163,0.499821097,0.653903723,0.598189592,-0.557045519,0.430347234,1,0.556577623,0.282354027,0.30524084,0.456355214,0.537210763,1,1,0.387817085,0.120098665,0.0285583232,0.0012691021,False
-0.845721781,0.518619537,0.246179819,0.527596414,-0.493005604,0.870306373,0.422265768,0.908315122,-1,1,1,1,0.353140175,0.371024102,0.80716908,0.808485627,0.902220547,0.862925053,0.699239969,0.595517099,0.409511089,0.000511050224,False
-0.349817544,0.612500787,0.355315685,0.610964358,0.236771554,0.998575747,0.447034895,1,-1,0.816309333,1,0.783340514,0.5096789,0.516901255,0.641671062,0.617701232,1,0.958550215,0.519950151,0.264303505,0.740576148,7.74264336E-05,False
-0.785055518,0.645684779,0.10513097,0.645456076,-0.574962437,1,0.0711688921,1,1,0.911143422,1,0.918343008,0.627124667,0.557604134,0.345059574,0.394153953,0.564618528,0.467788607,0.57504642,0.459161013,0.406014949,0.00080537796,False
-0.95503813,0.601809919,0.0372389592,0.589229941,-1,1,0.00197221641,0.988343358,0.375423163,0.979348242,1,1,0.31700182,0.296013713,0.341159463,0.304521978,0.332493395,0.283341795,0.197429761,0.161135584,0.12617296,0.00293916464,False
