scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_mean,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,signal_mean,label
1,1,0.286754757,1,0.159955353,0.770114958,0.338755429,0.614564359,0.0561304055,0.609195411,1,0.504546702,0.494252861,0.409730881,0.586206913,0.448756039,0.287356317,0.18908608,0.264367819,0.16640909,0.103448279,4.17232513E-07,False
0.284362167,0.932735443,0.0722785145,0.717401505,0.751211345,1,0.363990635,1,1,0.739910305,1,0.750928462,0.264573991,0.118579365,0.246636778,0.186686411,0.0448430479,0.0178900696,0.0896860957,0.041315347,0.0627802685,2.38418579E-06,False
0.743502736,0.405915946,0.126359791,0.411803126,1,0.65043509,0.364591569,0.712792754,0.52253896,1,1,1,0.271662027,0.291775644,0.174877509,0.238727242,0.109288722,0.0615339801,0.0454627946,0.0263669919,0.0679306239,0.000481426716,False
-0.975980937,0.418144405,0.0678508133,0.409566015,-1,0.761955917,0.23547402,0.746167123,-0.848569632,1,1,1,0.264772683,0.256031007,0.339864612,0.332416475,0.0664166585,0.057152845,0.0547390692,0.046812214,0.0285614692,7.1644783E-05,False
-0.607695222,0.385912955,0.898082912,0.401864856,-0.74126637,0.726034999,1,0.743936718,-1,1,0.0596026294,1,0.187727347,0.203389674,0.205603361,0.213410273,0.179945543,0.155058652,0.0672724396,0.0584843904,0.0274256263,0.000243365765,False
-1,0.419062823,0.359809101,0.428805798,-0.999489248,0.752586961,0.183470055,0.767501652,-0.95227617,1,1,1,0.248179659,0.273798287,0.328037173,0.360897869,0.125939459,0.11735148,0.105752461,0.00166275981,0.0110911364,0.000187218189,False
-0.288448125,0.466078341,0.108986981,0.458206713,-1,0.858773649,0.49286902,0.809351861,-0.330161721,1,1,1,0.452759057,0.444777399,0.565330982,0.512837768,0.319924444,0.136602223,0.165543035,0.131010681,0.148341432,0.000479996204,False
-0.859062433,0.400107771,0.625920594,0.407155186,-0.868672311,0.719072044,1,0.719259083,-1,1,0.254926264,1,0.282064259,0.331507087,0.145801276,0.140946269,0.252170295,0.246622607,0.22484757,0.19528608,0.0928959623,0.000604689121,False
-1,0.414743185,0.272537261,0.414660245,-0.678114772,0.734224081,0.268378049,0.739720464,-0.932273805,1,1,1,0.26945594,0.283264279,0.344032705,0.321987033,0.0994809717,0.0592705458,0.107847825,0.0321774743,0.0514647029,2.0802021E-05,False
-1,0.44617933,0.0597518273,0.425372094,-0.964778781,0.80101198,0.0577468053,0.775788248,-0.715201199,1,1,1,0.334946126,0.310731828,0.357440412,0.305865496,0.0840317532,0.0776698664,0.0452838242,0.0367922597,0.00679831393,0.000555276871,False
-0.742195904,0.411693811,0.0339289904,0.420846581,-0.82384795,0.714915216,0.230670258,0.740475416,-1,1,1,1,0.233085528,0.252251714,0.204468101,0.198001489,0.234821096,0.202920064,0.0445942171,0.0236709174,0.140888795,0.000255584717,False
