scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_mean,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,signal_mean,label
0.593860209,0.48971194,0.548389375,0.617347002,-0.332449883,0.67078191,1,0.761244774,-1,0.56378603,0.787415564,0.606946826,1,1,0.786008239,0.771298587,0.390946507,0.363423973,0.251028806,0.0256001819,0.111111112,2.92062759E-06,False
1,0.642987251,0.578555644,0.57139796,0.758074939,1,0.351425111,1,0.768265903,0.763205826,1,0.821090817,0.44262296,0.276609391,0.544626594,0.385747254,0.358834237,0.247871727,0.741347909,0.424304932,0.712203979,1.96099281E-05,False
1,0.427663505,0.270176679,0.419809639,0.980479419,0.722087443,0.80300653,0.702459693,0.759402335,1,1,1,0.576929271,0.460205734,0.899459839,0.593219399,0.781146884,0.405877441,0.213516399,0.102229491,0.266624629,0.00209665298,False
-1,0.492900312,0.345759153,0.482664198,-0.962409377,0.911124349,0.560630202,0.887680411,-0.287415951,1,1,1,0.558993518,0.540783942,0.432451814,0.423463494,0.2304454,0.174215898,0.127429605,0.0716641098,0.0289882869,0.000969350338,False
-0.595640302,0.419636726,0.732525587,0.442726284,-0.817510366,0.775920033,1,0.785296857,-1,1,0.298618168,1,0.493578255,0.508882523,0.563858628,0.541436136,0.407940418,0.437100947,0.0409712419,0.0107582817,0.104358777,0.00258708,True
-0.269687712,0.377721459,0.0609692931,0.371257335,-1,0.719903708,0.0979412943,0.68846184,-0.50560832,1,1,1,0.429839313,0.435677499,0.419365138,0.376896709,0.224734619,0.197211221,0.0881668553,0.071476534,0.0622857995,0.00039857626,False
0.503839076,0.46783641,0.421871454,0.437023044,-0.145370245,0.861352146,1,0.799325943,1,1,0.885244906,1,0.849358916,0.715857267,0.640479624,0.622462094,0.335808218,0.276011616,0.248163715,0.184757993,0.0349824242,0.000644743443,False
0.295032829,0.418337524,0.0797689408,0.403882146,-0.224327371,0.773486435,0.259361207,0.743041813,1,1,1,1,0.514619172,0.471886724,0.409820437,0.381709665,0.291837424,0.24609375,0.104678273,0.080561772,0.0206786767,0.000448405743,False
0.229419649,0.391293645,1,0.413197488,0.595250249,0.675031781,0.448434055,0.737663269,-1,1,0.797058463,1,0.731848121,0.753591001,0.610172451,0.481594503,0.20860444,0.195160389,0.0720101818,0.0601198934,0.0121796709,6.88433647E-05,False
-0.546073794,0.364512026,0.183050334,0.378261864,-1,0.654523909,0.243842185,0.679393768,-0.940806806,1,1,1,0.367439628,0.367723465,0.814329565,0.738463521,0.402332276,0.227609754,0.0984012559,0.0829896927,0.0205552634,0.00280463696,False
1,0.448269546,0.370747089,0.450023383,0.489318967,0.839439094,0.107623734,0.831773758,0.458099574,1,1,1,0.528487682,0.488801926,0.495978177,0.52906841,0.22889863,0.182244733,0.163630337,0.127028465,0.144450292,0.00339031219,False
0.380764723,0.399487406,0.438086748,0.39692679,0.459123969,0.726146579,0.887549877,0.735265493,1,1,1,1,0.465341717,0.387031406,0.478385806,0.392053664,0.248003602,0.141872182,0.107913665,0.00196382962,0.014793165,0.000461935997,False
-0.71728307,0.407905102,0.144649386,0.406656504,-1,0.688329041,0.0930579826,0.682960749,-0.45771274,1,1,1,0.496364444,0.474461496,0.420178413,0.43263337,0.263148397,0.269765526,0.039733462,0.00777174672,0.0746125877,0.000474154949,False
-0.289680153,0.401708394,0.492916703,0.413130969,-1,0.742417336,0.441281229,0.727451921,-0.47646299,1,1,1,0.618842363,0.657194078,0.656774044,0.62047106,0.209091842,0.191578656,0.0538718253,0.0446724296,0.0525545068,0.00059980154,False
-0.728666484,0.375340134,0.0174446031,0.378986239,-1,0.715203404,1,0.69826895,-0.703775764,1,0.379624665,1,0.571868479,0.561396539,0.576209247,0.602189958,0.343921423,0.323674202,0.192018077,0.0111537613,0.00975859445,0.00175005198,False
-1,0.445542514,1,0.438058823,-0.9976511,0.826645553,0.581516802,0.813831627,-0.88207674,1,0.103828579,1,0.467780292,0.482937425,0.418597996,0.397384822,0.407785207,0.229025394,0.104820438,0.00419529341,0.0272903629,0.00285935402,True
0.493498266,0.379685998,0.198741332,0.394266427,0.492225409,0.678861499,0.0653673038,0.730963409,1,1,1,1,0.565185666,0.630007982,0.703894615,0.715362191,0.641594172,0.554513276,0.105677113,0.0854332447,0.0699756667,0.00124740601,False
-0.267499208,0.349602848,0.54046607,0.375875682,0.0637889057,0.582968175,0.672037303,0.646530807,1,1,1,1,0.894775867,0.943109572,0.721568286,0.67293632,0.310037851,0.27004388,0.09471187,0.0818154365,0.0694280043,0.00181937218,False
0.317369998,0.414276123,0.48373127,0.457537413,0.893239737,0.776085258,1,0.847978413,-1,1,0.426220566,1,0.608008981,0.599764943,0.771353602,0.78219378,0.387994289,0.381752044,0.309574157,0.128770113,0.169030339,0.000363707542,False
-0.902164817,0.47043401,0.0940226912,0.44366017,-1,0.888034463,0.0150506981,0.830654502,-0.652826309,0.93541038,1,0.856115639,1,1,0.886735082,0.847995102,0.629385591,0.584321618,0.457416713,0.351797909,0.15017657,0.000270485878,False
0.576237619,0.410304278,0.313335091,0.407710701,1,0.714459121,0.703381479,0.735424399,0.141923681,1,1,1,0.722202778,0.637747049,0.753593147,0.660547197,0.298165649,0.209336877,0.208070874,0.128710032,0.138727099,0.000392317772,False
-0.243851796,0.397410959,0.0405013151,0.409342855,-0.140345126,0.702409863,0.248273805,0.736933768,1,0.923349798,1,0.982911527,1,1,0.94995445,0.7560817,0.428968072,0.368084401,0.196874991,0.162212491,0.0622899607,0.000161588192,False
-0.489454359,0.382223099,0.209361017,0.387197435,0.409375668,0.662288547,0.899709284,0.680137515,1,1,1,1,0.67862761,0.615022898,0.405942529,0.350004643,0.190195575,0.15011619,0.040010713,0.0326179564,0.0501174256,9.96589661E-05,False
-0.503249347,0.405144662,0.157500178,0.432066739,-0.624893367,0.75095886,1,0.787838221,-1,1,0.854242682,1,0.66850245,0.774743855,0.500135362,0.530919671,0.384792119,0.1635869,0.0812339783,0.043332316,0.00962420646,0.00210076571,False
-0.632079422,0.444518715,0.328385621,0.407224953,-1,0.834785819,0.575400591,0.783549011,0.163129091,1,1,1,0.85996139,0.742079556,0.553665936,0.541973889,0.550850928,0.558346689,0.0555334091,0.0401482359,0.128582373,0.00209617615,False
-0.413880438,0.384030908,0.49325937,0.383401543,0.654227078,0.684751093,1,0.712360561,-1,1,0.172892317,1,0.773713589,0.659655392,0.520843327,0.438584149,0.223530948,0.202335894,0.0849180669,0.068023935,0.0672581121,0.000186681747,False
-1,0.35408321,0.173119992,0.347420037,-0.926120758,0.639071167,0.366936773,0.630487919,-0.902676225,1,1,1,0.602631688,0.594316065,0.418743163,0.437443525,0.57748878,0.418829888,0.0781107321,0.0149728479,0.19187212,0.00187271833,False
0.598837674,0.34820503,0.778612733,0.342606068,-0.0903628021,0.635575593,1,0.620132685,-1,1,0.268821865,1,0.679304242,0.664000928,0.514514506,0.495044082,0.278261989,0.299158603,0.236635566,0.110280856,0.127915487,0.00142401457,False
0.408121258,0.431663603,0.00530130416,0.394649059,-1,0.837417722,0.153866008,0.728129864,0.420804471,1,1,0.932875395,0.880075455,1,0.671977997,0.643271029,0.467486799,0.0521084778,0.111741245,0.0801327676,0.158899635,0.000228583813,False
-0.72747004,0.317532957,0.331489742,0.446791619,-1,0.619271219,0.235244945,0.849390924,-0.93710959,0.746780097,1,0.981946349,0.603425503,0.85753262,1,1,0.3828215,0.428297997,0.0435956344,0.0482365042,0.0230767056,0.000794649124,False
-0.120215885,0.350081205,0.839748204,0.378701806,-0.194378749,0.673609495,1,0.710234284,-1,1,0.213309109,1,0.71706754,0.714552641,0.971226633,0.858804047,0.377819687,0.309129119,0.18390578,0.155561417,0.00564594287,0.000783324242,False
-0.496969014,0.330510318,0.994859993,0.325413704,-1,0.621118128,1,0.60412395,0.069433175,1,0.925023377,1,0.849182427,0.839385629,0.961496711,0.778725088,0.648963511,0.369079918,0.219775304,0.060898155,0.146453753,0.00100952387,False
0.0348134115,0.372699469,0.00585680176,0.369982123,0.864998877,0.68495208,0.502406895,0.686418176,1,1,1,1,0.924976051,0.874667227,0.69087106,0.706880152,0.986529827,0.866913021,0.0429150313,0.032864999,0.220822468,0.00192022324,False
-0.337161988,0.386346221,0.44065246,0.408772409,-0.618835151,0.700746238,1,0.753065169,-1,1,0.875594676,1,0.6718449,0.765084624,0.501559377,0.440689176,0.357637286,0.235663265,0.14086993,0.038095668,0.174284771,0.0011638999,False
-0.692643642,0.378982484,0.427594304,0.396048605,-0.594606638,0.707891822,1,0.729024768,-1,1,0.33163771,1,0.450539321,0.47660172,0.77797401,0.620555699,0.678678036,0.480667382,0.111378692,0.0953451172,0.00265201507,0.000843167305,False
-0.524120271,0.409651637,0.159526423,0.414564759,-1,0.762647569,0.57676208,0.744104564,-0.657839537,1,1,1,0.743673563,0.680751383,0.784718573,0.730391324,0.145276546,0.101115406,0.197430551,0.124753393,0.0953871757,0.000461876392,False
0.300929844,0.346038282,1,0.396373272,0.725021541,0.637050748,0.937071741,0.738713205,-1,0.86001575,0.431460023,1,0.834845603,0.995382726,1,0.88779521,0.396444619,0.209750175,0.185551003,0.105488211,0.0363352858,0.000613033772,False
-0.16471301,0.360975206,0.663388729,0.364845574,0.110463403,0.632523477,1,0.646655142,-1,0.871607244,0.576999962,0.828047156,1,1,0.868819714,0.85550046,0.294488192,0.267305613,0.144747153,0.048791457,0.176975876,0.00194251537,False
-0.34987241,0.303411961,0.22677964,0.319942862,-0.356241792,0.597216964,0.0813813359,0.625507474,1,0.725441992,1,0.787593007,1,1,0.779699922,0.783670127,0.685247838,0.401331663,0.200871557,0.163160145,0.0216734614,0.000108480453,False
0.895690143,0.322255939,0.207981944,0.335778296,-1,0.576075912,0.07369674,0.621070743,-0.748713255,0.843583703,1,0.873874307,1,1,0.518879533,0.489998728,0.751490831,0.483167022,0.0208805967,0.0176601522,0.200328737,0.00131028891,False
1,0.364188135,0.656012535,0.375685394,-0.0994360894,0.64869976,0.351064622,0.672324061,0.991676927,0.978006124,1,1,0.745825708,0.757343888,1,0.837161779,0.652809918,0.371263146,0.0577989034,0.00382277672,0.00863410253,0.00129002333,False
-0.428147733,0.345682383,0.187981322,0.378566682,-0.751264453,0.679688334,0.421159893,0.71299082,1,0.735944867,1,0.880259514,0.984689951,1,0.664141297,0.542613208,1,0.356392562,0.101446986,0.0912508592,0.0635093898,0.000604271889,False
-1,0.347568721,0.31891495,0.361150116,-0.959617436,0.657790422,0.44599694,0.665694535,-0.629509807,1,1,1,0.875577509,0.874013126,0.90256393,0.849619508,0.380111009,0.0681312755,0.183700845,0.108002394,0.105501607,0.00144422054,False
-0.840074301,0.35833922,0.0245842468,0.361443877,-0.903066695,0.64895153,0.206515953,0.658486009,-1,1,1,1,0.63015449,0.608691156,0.551414251,0.606658936,0.169230908,0.0667598769,0.122712858,0.00192092697,0.0603509247,7.30156898E-05,False
-0.679913461,0.370953947,0.316662192,0.382508308,-0.728267252,0.692358971,0.0977949724,0.703351796,-1,1,1,1,0.545402646,0.543075264,0.738657951,0.676810324,0.129315957,0.137084484,0.0974162593,0.0842398927,0.0795026645,0.00147753954,False
-0.868804812,0.368634433,0.065621525,0.36943233,-0.859192193,0.663335919,0.0684400424,0.675467372,-1,1,1,1,0.493475407,0.444649637,0.449994713,0.405956149,0.259264618,0.172362044,0.0916627198,0.0787087902,0.00370853744,0.000905454159,False
-0.966081083,0.39340052,0.405601919,0.384965539,-0.989967823,0.718473375,1,0.711478531,-1,1,0.917137444,1,0.531179667,0.535990715,0.342205852,0.306655794,0.318545461,0.106583856,0.0576340742,0.0270357765,0.00238391873,0.000712513924,False
-0.983267009,0.394873202,0.144605726,0.38677007,-1,0.745478392,1,0.714494467,-0.955249965,1,0.8076756,1,0.502275527,0.496369749,0.420229763,0.271397889,0.1799611,0.15812771,0.0385766849,0.0323152803,0.0502236262,0.000258982182,False
0.749921441,0.340971798,0.359735638,0.357881606,1,0.640734017,0.827255368,0.659690738,0.179053411,1,1,1,0.829530537,0.732396722,0.473590791,0.426070362,0.276665032,0.212859511,0.143616542,0.0713644698,0.00733826356,0.00218266249,False
-1,0.387649208,0.202469796,0.385380656,-0.980225563,0.709748983,0.504364371,0.710512459,-0.890598238,1,1,1,0.433042556,0.544248104,0.620911121,0.496456921,0.231292725,0.206805304,0.208187938,0.169528291,0.0310529545,0.00124442577,False
-0.917578101,0.381184995,0.00195593829,0.372707307,-0.700301826,0.683008075,1,0.679823577,-1,1,0.409632862,1,0.547938049,0.582821608,0.572151482,0.58970052,0.333995849,0.297593892,0.0539967977,0.0436094031,0.102068491,0.0004773736,False
-0.991005599,0.413459688,0.062799558,0.397827208,-1,0.740864277,0.330088586,0.735371292,0.228397816,1,1,1,0.56384474,0.529866219,0.562858284,0.529325128,0.276327401,0.226517141,0.138646558,0.107731961,0.0570005514,0.00231081247,False
-0.768968999,0.417766213,0.478579611,0.396114707,-1,0.807409644,1,0.733252704,-0.0348841995,1,0.962366879,1,0.92695111,0.777359426,0.536346257,0.491342843,0.424706608,0.337494701,0.152318299,0.0511154421,0.0217946041,0.00349718332,True
-1,0.428371698,0.0957565606,0.413311988,-0.918991685,0.794682443,1,0.756853461,-0.970914006,1,0.946162641,1,0.86616236,0.846497357,0.654837668,0.561826169,0.654845655,0.341740698,0.0692830309,0.0329378247,0.149016768,0.00331169367,True
1,0.343360543,0.483741909,0.361729354,0.217979908,0.651860535,1,0.674140155,-0.555560946,1,0.592498183,1,0.601571023,0.580711842,0.534473658,0.505839348,0.429182619,0.17916818,0.121528603,0.0663302094,0.0634054169,0.00195533037,False
-0.959849298,0.342663974,0.48385644,0.340889335,-0.553795993,0.649095476,0.644597232,0.650071681,-1,1,1,1,0.842630804,0.829159498,0.889958858,0.886936188,0.722216606,0.536108077,0.149100736,0.0931540057,0.172401756,0.00101083517,False
-0.256893426,0.292408228,0.980233133,0.301243842,0.651063859,0.522865534,0.795839846,0.568018138,-1,1,1,1,0.70169872,0.67321229,0.357775062,0.397574693,0.53869009,0.312116563,0.267749101,0.21721971,0.0526156276,0.00119632483,False
-0.614761412,0.327578992,1,0.341585249,-0.390396386,0.608226359,0.66694963,0.630383432,-1,1,0.75744462,1,0.788338661,0.74867326,0.601558983,0.571832478,0.358163595,0.219133317,0.238159195,0.0742614493,0.0713949129,0.000177502632,False
-0.911039054,0.392969579,0.0519622378,0.443546563,0.182170555,0.690016866,0.104818359,0.814839959,-1,0.87218219,1,1,1,0.991376579,0.49740696,0.516073942,0.189194813,0.0799174011,0.120127,0.111530341,0.0308991186,0.000260710716,False
-0.846949875,0.328995258,0.185186088,0.323173463,-1,0.599453568,0.525254726,0.592239022,-0.279147834,1,1,1,0.484716952,0.419046551,0.373820424,0.345966667,0.405294955,0.27161935,0.07533741,0.0604477599,0.152736187,0.000635445118,False
-1,0.351492256,0.163754165,0.354581892,-0.77499193,0.649870872,1,0.660502553,-0.938125014,1,0.787801921,1,0.365819812,0.431814492,0.536370695,0.425696641,0.233033657,0.223219886,0.120410673,0.0442184918,0.0627380908,0.00100302696,False
-0.8178581,0.364705414,0.405679226,0.371298671,-0.645249367,0.669426501,0.689018965,0.680600405,-1,1,1,1,0.712697029,0.671504796,0.516579688,0.449693292,0.28345868,0.246707469,0.219983295,0.182639435,0.00400128216,0.000457704067,False
-0.703298211,0.408397764,0.23712194,0.423471451,0.367134988,0.722759962,0.0194124654,0.775488138,-1,1,1,1,0.856179476,0.844161034,0.566048086,0.480618119,0.908527076,0.820368826,0.190441236,0.156927362,0.142930195,0.00246500969,False
-0.539731741,0.361001134,0.0966646671,0.362341553,0.240694329,0.656142831,0.587923408,0.6674366,-1,1,1,1,0.503015578,0.509552896,0.997272134,0.938506365,0.680860221,0.481688023,0.219303191,0.174836352,0.133646786,0.0017311573,False
-1,0.42700085,0.15215084,0.421077132,-0.71859169,0.807261705,1,0.772463024,-0.366322637,1,0.781420827,1,0.821137846,0.875114858,0.650804222,0.554948151,0.608432651,0.217714533,0.0216476377,0.0168348607,0.109432727,0.000828027725,False
0.36057508,0.394082129,0.392113805,0.39884299,1,0.697844326,1,0.695498109,0.197815731,1,0.864651322,1,0.615927041,0.595480919,0.490198493,0.537564456,0.555310607,0.330578625,0.159398258,0.125457793,0.112022422,0.000248789787,False
-1,0.446904153,0.27952987,0.439836174,-0.946006,0.767554939,0.767851651,0.775523841,-0.995483398,1,1,1,0.537832856,0.512588501,0.462027758,0.606802762,0.513501465,0.181140155,0.159979761,0.016921252,0.0390482843,0.000624597073,False
-0.355734408,0.441602319,0.442069143,0.458613604,-0.808729529,0.843112051,0.863219678,0.820077837,-1,1,1,1,0.593079209,0.603979766,0.869658291,0.900206506,0.543415546,0.426174551,0.121188499,0.0997743979,0.167332336,0.000151336193,False
-0.168808863,0.4023664,0.210716188,0.423020631,0.159326404,0.699376762,0.706860483,0.744465947,-1,1,1,1,0.376399398,0.389674962,0.430137992,0.423401833,0.0722906068,0.0489383899,0.0501657277,0.0116284657,0.0430963896,0.000433564186,False
-0.834626198,0.427889884,0.203888938,0.43172735,-0.819209516,0.773358881,0.809923828,0.778012574,-1,1,1,1,0.406939864,0.396251678,0.353199869,0.33475396,0.0904009268,0.0979801863,0.0801512823,0.0329607539,0.0426729694,0.000257909298,False
-0.578886092,0.404831082,0.132487491,0.422078431,-0.226588443,0.703930795,1,0.752030969,-1,1,0.97074461,1,0.34179309,0.392497718,0.437510371,0.424198538,0.29347235,0.182581469,0.10093946,0.0382452272,0.0404196493,0.000837028027,False
-0.961092412,0.441832125,0.0913028345,0.421031892,-1,0.790315509,0.916897297,0.768241942,-0.731742442,1,1,1,0.525478184,0.479770273,0.624919593,0.526867449,0.371049017,0.31181246,0.200050101,0.160840437,0.0679246783,0.000430941582,False
-0.738310158,0.450722337,0.0849733353,0.460143268,-0.32659781,0.769670963,0.352489293,0.812626302,-1,1,1,1,0.348655373,0.368906379,0.153040543,0.115955949,0.112192102,0.0942451134,0.0588858277,0.00906427577,0.0497869253,0.000117003918,False
-0.143758848,0.439972639,0.320894718,0.443707585,-1,0.80719918,0.0541701578,0.791664064,-0.402226955,1,1,1,0.460362911,0.461308062,0.421311617,0.442388862,0.118044294,0.12548992,0.0780041814,0.0242796876,0.106169105,0.000112056732,False
-1,0.446186364,0.0196283273,0.457667261,-0.74558866,0.770433366,0.345503092,0.833441079,-0.865767717,1,1,1,0.408471584,0.462956071,0.307489097,0.330600381,0.207148433,0.210271746,0.0467346311,0.0405655578,0.0706195682,0.00138002634,False
-1,0.506898344,0.0559213609,0.505647302,-0.707341731,0.882464588,0.243986994,0.896492779,-0.777717292,1,1,1,0.557729661,0.521525145,0.416627705,0.430736005,0.253031433,0.23832576,0.0302565433,0.0175526924,0.134204596,0.000125706196,False
-0.788802564,0.503826559,0.00661619334,0.474907517,-0.385175049,0.880466223,0.227217823,0.84709543,-1,1,1,1,0.389148861,0.325334758,0.417109549,0.382760406,0.43813929,0.406431526,0.113937639,0.051177945,0.0748919547,0.00243669748,False
-1,0.446378469,0.108293004,0.447940528,-0.92754823,0.691568553,0.202099398,0.724952638,-0.625391483,1,1,1,0.329433948,0.344837844,0.36130327,0.317845494,0.263290346,0.207871884,0.0966842845,0.0152997654,0.0437790416,0.0015989542,False
-0.755164981,0.487086862,0.31531778,0.485618293,-1,0.879127264,0.459725857,0.867942989,-0.664253235,1,1,1,0.472602993,0.476480126,0.303332716,0.292755485,0.345521778,0.192808434,0.0423510894,0.000148390332,0.0723541975,0.000696361065,False
-0.526194394,0.410645932,0.609276533,0.434089243,-0.160258263,0.663643062,0.715948284,0.71725738,-1,1,1,1,0.401943684,0.428523421,0.384921432,0.381016672,0.262282521,0.223288149,0.0143015673,0.0124848532,0.0431543402,0.000946819782,False
-0.880103827,0.439783275,0.136490405,0.539763868,-0.898716271,0.716724455,0.0167738963,0.879201949,-1,1,1,1,0.447915435,0.574876726,0.759730697,0.882273257,0.400467128,0.153269053,0.053215012,0.0550896414,0.0766752288,0.000537037849,False
