scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-1,0.183322892,0.124634013,0.229371026,-0.824108243,0.340861529,0.0371998139,0.435260415,-0.812174737,0.52850759,0.257753402,0.651739478,-0.645450771,0.687153459,1,0.834021151,0.822384357,0.977454543,1,1,0.592776835,0.64707464,0.0518371351,0.0385808237,0.217435911,0.000228732824,1
0.247327715,0.300918311,0.371964037,0.292840779,0.181788325,0.547927737,0.31668973,0.534715354,1,0.825938702,1,0.85919553,0.910506427,0.894101977,0.0425337851,0.904932678,0.927051842,0.829482973,1,1,0.828918517,0.764101446,0.227941498,0.0989333689,0.216337413,0.000254064798,1
-0.660110652,0.251491129,0.269656539,0.231017128,-0.708697855,0.483603865,0.719929338,0.441305459,-0.664929092,0.742418528,0.319797784,0.672886908,-1,0.842632413,1,0.757607937,0.842154264,0.729014993,1,1,0.466591179,0.366377771,0.0255945642,0.00175337691,0.194387823,0.000143527985,1
0.0174585115,0.327771604,0.0418036468,0.351095766,0.787458956,0.589115739,0.133891761,0.631234348,-1,0.873371124,0.0572775342,0.918032587,-0.882071018,0.619145215,1,0.636930227,0.649250686,0.668155909,1,1,0.115135297,0.119768187,0.113901466,0.0563266799,0.0570314042,4.14550304E-05,1
0.0978932828,0.402174473,0.772590756,0.404555589,0.0186769497,0.725857615,0.35641399,0.73296839,-0.099995859,1,0.822533548,1,-1,0.420887053,1,0.395468235,0.528443098,0.523792982,0.993352294,0.855781913,0.556860864,0.487657726,0.197883889,0.146437764,0.230107576,1.38282776E-05,1
-1,0.445222765,0.0432402007,0.436899006,-0.98973304,0.789545894,0.077089414,0.780660987,-0.8850438,1,0.427255124,1,0.506703079,0.271704644,1,0.303883284,0.287824452,0.286352396,0.569984794,0.518939257,0.206939772,0.15221338,0.0702782869,0.0602833293,0.0277337059,6.53862953E-05,2
-0.215363204,0.42292732,0.0147760576,0.436117738,-0.193684548,0.750553548,0.129717842,0.787381887,-0.349761426,1,0.138170093,1,1,0.545509577,1,0.591941416,0.57191968,0.506521165,0.709169745,0.794298112,0.292445987,0.199543491,0.0746091977,0.0508966148,0.0425340943,1.67191029E-05,2
-0.0305723231,0.366237164,0.185506195,0.37850216,0.108545385,0.664325237,0.130286112,0.687413275,-0.610875726,1,1,1,-1,0.422314733,0.463399976,0.434755653,0.588070452,0.572754681,0.629052877,0.73664397,0.367144257,0.313369215,0.0592524521,0.0483874194,0.104572728,0.00024420023,2
-0.44896242,0.298288047,0.0778604001,0.314767003,-0.622944415,0.53718704,0.0624061935,0.576838195,-0.329668015,0.803852022,1,0.83068949,-1,0.506748319,0.829953849,0.507319391,0.767282486,0.797172606,1,1,0.405564606,0.306272656,0.213432044,0.182354152,0.140178978,2.73287296E-05,1
1,0.319950253,0.0178169999,0.341881186,0.910063088,0.593407691,0.284431547,0.617613792,0.0809310898,0.819637179,0.195784599,0.827836633,0.414654106,0.555291355,1,0.571902573,1,1,0.837261438,0.853434384,0.987457931,0.853496611,0.169408917,0.134564862,0.0600695163,0.000262886286,1
-0.359897256,0.220648155,0.19729948,0.24419266,-0.169665098,0.390579462,0.664479256,0.452114284,-1,0.668064594,0.24605161,0.71072036,0.146728963,0.56352818,1,0.645797074,0.795001626,0.819457531,1,1,0.361700684,0.387865841,0.189161077,0.16911152,0.0329702161,0.000171303749,1
-0.0986262634,0.392258793,0.27749595,0.388592869,-0.353651136,0.739921153,0.0905623063,0.718759477,-0.146788955,1,1,1,-1,0.550543189,0.671689928,0.529030919,0.516649246,0.458539397,0.752249122,0.650421798,0.238802612,0.212746471,0.14322041,0.114076585,0.0149513157,0.000229239464,2
-0.479662448,0.374375701,0.422010183,0.376772702,-0.422998458,0.681133747,0.650258899,0.687254906,-0.758556545,1,0.0302464999,1,-1,0.422312826,1,0.422242463,0.480164587,0.503849268,0.588878274,0.59535259,0.479321837,0.188216165,0.120623626,0.0983500183,0.0545923226,8.95857811E-05,2
-0.90635556,0.348677069,0.166727647,0.357710809,-0.839258015,0.659690619,0.0871016234,0.681788325,-1,1,0.0413773619,1,0.880874217,0.571563125,1,0.666624725,0.466964185,0.407587171,0.580296695,0.51254344,0.356450915,0.269846767,0.124243461,0.0336825289,0.0613449477,1.15334988E-05,2
-0.498470157,0.431029111,0.55731976,0.44919759,-0.397401869,0.7958498,1,0.799045682,-1,1,0.00100169599,1,-0.900960624,0.675699592,0.260259867,0.675317407,0.723563313,0.735362887,0.925459325,0.969362199,0.696485221,0.569174886,0.288170993,0.242210954,0.149959549,9.67085361E-05,1
